domain,project,0,1,2,3,4,total
modeling,graphiti,159,134,118,115,72,598
iot,californium,60,3,2,1,0,66
technology,m2e,1373,157,38,22,14,1604
modeling,ocl,1492,192,42,5,8,1739
modeling,mdt.rmf,237,75,24,6,5,347
technology,dltk,733,332,43,10,3,1121
technology,gef3d,113,4,2,1,0,120
soa,stardust,468,52,16,2,0,538
tools,damos,0,0,0,0,0,6
rt,vertx,327,55,11,1,0,394
modeling,mdt.modisco,504,349,108,18,5,984
technology,actf,932,70,10,1,0,1013
modeling,acceleo,744,112,31,7,4,898
technology,lsp4j,1,0,0,0,0,1
eclipse,pde,13408,1834,363,105,27,15737
technology,lsp4e,34,16,7,3,0,60
iot,vorto,100,39,13,5,0,157
rt,rap,3221,1073,376,237,104,5011
modeling,mdt.bpmn2,57,5,0,0,0,62
modeling,sphinx,383,48,18,9,5,463
rt,gemini.naming,21,2,3,0,0,26
technology,lyo,779,70,17,13,2,881
modeling,emft,470,110,17,4,3,604
technology,rtsc,837,244,101,30,17,1229
ecd,orion,8574,476,332,154,21,9557
tools,pdt,3730,1252,350,88,20,5440
technology,nebula,946,136,21,12,3,1118
tools,ldt,238,75,58,8,2,381
technology,tm4e,0,1,0,0,0,1
technology,ease,310,48,47,34,15,454
modeling,emfcompare,811,216,52,11,5,1095
technology,tigerstripe,949,179,15,4,0,1147
modeling,emfstore,442,68,14,4,0,528
rt,riena,817,113,50,16,2,998
technology,flux,58,1,1,0,1,61
modeling,qvto,836,117,11,3,0,967
science,ice,310,11,6,0,0,327
tools,windowbuilder,416,51,21,11,2,501
tools,pdt.incubator,1,0,0,0,0,1
modeling,qvtd,167,86,9,0,0,262
modeling,pmf,31,0,0,0,0,31
science,eavp,4,0,0,0,0,4
iot,risev2g,0,0,0,0,0,1
modeling,tmf,3767,1178,244,64,19,5272
tools,andmore,95,16,1,2,0,114
soa,jwt,217,141,43,7,0,408
modeling,mmt,10,32,0,0,0,42
tools,mat,430,20,9,2,0,461
modeling,papyrus,7259,1260,372,372,371,9634
soa,mangrove,10,1,0,2,0,13
modeling,mdt.xsd,143,192,45,12,12,404
rt,eclipselink,5664,1773,419,72,24,7952
technology,xwt,109,20,119,99,5,352
modeling,viatra,817,158,50,10,2,1037
technology,egit,3381,512,119,56,17,4085
technology,eclemma,18,0,1,1,0,20
technology,mdmbl,2,0,0,0,0,2
modeling,emft.henshin,85,5,0,0,0,90
soa,bpmn2modeler,543,144,15,3,0,705
modeling,eatop,31,2,1,0,0,34
rt,smila,167,28,14,3,4,216
iot,krikkit,6,0,0,0,0,6
modeling,emft.doc2model,1,0,0,0,0,1
modeling,efm,21,2,0,0,0,23
technology,nattable,676,57,8,2,0,743
technology,subversive,2346,196,28,16,5,2591
rt,gemini,4,1,0,0,0,5
technology,jgit,785,158,29,16,3,991
technology,rcptt,222,29,3,0,0,254
webtools,libra,106,22,22,2,0,152
modeling,gendoc,90,15,1,0,0,106
modeling,mdt,52,44,15,1,2,114
modeling,emf,4060,2837,642,349,141,8029
rt,ebr,5,1,0,0,0,6
technology,vtp,207,47,2,2,1,259
rt,gyrex,137,14,2,4,0,157
tools,cdt,15151,3219,516,336,109,19331
modeling,amp,131,22,9,7,2,171
technology,rtp,76,0,1,0,0,77
modeling,eef,71,7,95,143,14,330
modeling,emft.b3,117,14,5,4,0,140
modeling,capra,37,7,2,0,0,46
rt,gemini.jpa,96,19,8,2,1,126
technology,sisu,100,25,3,2,0,130
tools,orbit,970,44,16,2,1,1033
tools,titan,167,16,0,0,0,183
technology,sapphire,1099,67,11,9,3,1189
tools,gef,2308,436,151,49,6,2950
tools,oomph,964,302,91,61,20,1438
technology,scout,1681,174,44,12,1,1912
rt,ecf,1620,251,44,21,8,1944
technology,nebula.incubator,1,0,0,0,0,1
technology,babel,558,74,13,6,2,653
rt,gemini.dbaccess,17,2,0,0,0,19
technology,mpc,523,36,22,14,1,596
science,dawnsci,0,0,0,0,0,1
ecd,che,19,3,0,0,0,22
iot,kapua,1,0,0,0,0,1
technology,efxclipse,995,90,5,2,0,1092
tools,tracecompass,399,29,1,52,19,500
technology,epf,2522,408,88,40,6,3064
soa,ebpm,0,0,0,0,0,2
rt,apricot,12,1,0,1,0,14
technology,osee,281,28,28,15,3,355
eclipse,jdt,44988,7819,1837,539,96,55279
modeling,emf.parsley,133,8,1,0,0,142
technology,handly,141,0,1,0,0,142
technology,recommenders.incubator,174,45,2,3,1,225
mylyn,mylyn,5665,1891,723,114,29,8422
iot,wakaama,10,0,0,0,0,10
tools,atf,405,77,8,2,1,493
modeling,elk,3,0,0,0,0,3
tools,aspectj,2114,513,187,60,10,2884
modeling,modeling,120,79,8,3,7,217
modeling,emft.refactor,18,2,0,0,0,20
soa,bpel,346,22,7,1,0,376
technology,egerrit,311,80,3,0,0,394
technology,dash,167,24,5,3,0,199
technology,swtbot,318,98,46,46,16,524
tools,tools,8,0,0,1,0,9
technology,app4mc,38,9,0,0,0,47
rt,equinox,11477,1224,249,73,23,13046
modeling,m2t,652,327,65,13,2,1059
technology,tycho,679,126,124,107,24,1060
iot,scada,74,24,2,1,0,101
tools,thym,105,23,2,0,0,130
tools,mtj,463,153,66,36,26,744
modeling,mdht,21,6,0,0,2,29
soa,score,0,0,0,0,0,1
modeling,edapt,80,34,7,4,0,125
technology,jubula,1460,382,156,25,7,2030
technology,usssdk,4,1,2,0,0,7
modeling,emf.egf,178,10,2,1,0,191
rt,ercp,427,148,14,3,3,595
modeling,fmc,9,0,0,0,0,9
modeling,amalgam,112,11,1,0,0,124
iot,ponte,4,0,0,0,0,4
technology,microprofile,0,0,0,0,0,3
iot,tinydtls,3,3,1,0,0,7
tools,ajdt,1223,175,42,19,6,1465
technology,ogee,27,3,1,2,0,33
tools,buildship,243,98,28,12,9,390
modeling,ecoretools,225,55,9,4,0,293
iot,kura,42,4,0,0,0,46
modeling,mmt.atl,240,29,1,1,0,271
webtools,jsdt,1922,185,88,221,23,2439
modeling,sirius,965,430,114,59,27,1595
technology,epp,1210,143,77,72,56,1558
technology,hudson,1036,327,46,9,5,1423
science,chemclipse,18,4,0,0,0,22
modeling,ecp,854,642,113,6,0,1615
technology,camf,12,0,0,0,0,12
iot,4diac,201,97,4,0,0,302
tools,xtend,1235,704,199,115,44,2297
technology,recommenders,1046,98,29,22,11,1206
technology,stem,390,38,5,2,2,437
eclipse,e4,3145,242,57,26,8,3478
technology,woolsey,48,1,0,1,0,50
tools,tcf,916,88,79,54,7,1144
technology,remus,52,8,1,0,0,61
modeling,epsilon,285,55,157,32,6,535
eclipse,platform,91926,14266,3200,962,252,110606
modeling,emft.facet,470,281,70,7,0,828
tools,ptp,2071,455,119,56,31,2732
iot,paho,126,10,3,4,0,143
modeling,etrice,470,68,3,0,0,541
science,triquetrum,1,0,0,0,0,1
birt,birt,20603,2128,272,50,3,23056
modeling,upr,3,0,0,0,0,3
modeling,mdt.uml2,638,235,57,24,6,960
tools,objectteams,614,48,2,0,0,664
rt,virgo,1338,196,36,8,2,1580
iot,mihini,69,36,15,1,0,121
technology,uomo,25,13,6,3,1,48
eclipse,incubator,44,3,0,1,0,48
technology,cbi,445,39,103,18,8,613
ecd,cft,130,1,0,0,0,131
modeling,gmp,185,50,4,5,1,245
iot,om2m,33,11,0,0,0,44
tools,buckminster,1039,107,87,20,8,1261
modeling,umlgen,62,22,3,1,0,88
rt,gemini.blueprint,68,16,3,0,0,87
rt,gemini.management,42,7,0,0,0,49
rt,jetty,3360,341,44,19,6,3770
technology,mdmweb,23,0,0,5,0,28
modeling,emf.diffmerge,128,24,0,0,0,152
ecd,dirigible,191,91,31,4,3,320
rt,gemini.web,153,18,45,1,0,217
technology,skalli,161,9,5,1,1,177
