domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
technology,flux,2,1,2,0,1,1,0,0,0,61
modeling,qvto,5,7,4,15,12,14,0,2,0,967
science,ice,2,3,2,0,1,4,0,1,0,327
tools,windowbuilder,21,2,16,8,10,52,0,8,0,501
tools,pdt.incubator,0,0,0,0,0,0,0,0,0,1
modeling,qvtd,0,0,0,1,87,3,0,0,0,262
modeling,pmf,0,0,0,0,0,0,0,0,0,31
science,eavp,0,0,0,0,0,0,0,0,0,4
iot,risev2g,0,0,0,0,0,0,0,0,0,1
modeling,tmf,73,59,69,402,153,572,0,9,0,5272
tools,andmore,0,1,0,4,2,0,0,2,0,114
soa,jwt,14,37,5,146,27,14,0,0,0,408
modeling,mmt,0,28,0,0,0,3,0,0,0,42
tools,mat,8,1,8,11,3,7,0,0,0,461
modeling,papyrus,792,75,810,894,497,581,0,5,0,9634
soa,mangrove,0,0,0,0,2,3,0,2,0,13
modeling,mdt.xsd,1,14,0,30,24,37,0,24,0,404
rt,eclipselink,79,1510,86,512,67,534,0,5,0,7952
technology,xwt,4,1,0,115,222,2,0,222,0,352
modeling,viatra,5,11,3,139,32,31,0,24,0,1037
technology,egit,147,3,126,176,21,374,0,10,0,4085
technology,eclemma,2,0,2,0,0,1,0,0,0,20
technology,mdmbl,0,0,0,0,0,0,0,0,0,2
modeling,emft.henshin,0,0,0,0,2,3,0,0,0,90
soa,bpmn2modeler,1,8,0,23,4,39,0,1,0,705
modeling,eatop,1,0,1,0,1,0,0,0,0,34
rt,smila,8,15,6,10,6,33,0,0,0,216
iot,krikkit,0,0,0,0,0,0,0,0,0,6
modeling,emft.doc2model,0,0,0,0,0,0,0,0,0,1
modeling,efm,0,0,0,0,1,1,0,0,0,23
technology,nattable,4,0,2,7,4,30,0,0,0,743
technology,subversive,11,36,7,50,34,80,0,14,0,2591
rt,gemini,1,0,0,0,0,0,0,0,0,5
technology,jgit,35,2,31,62,6,109,0,4,0,991
technology,rcptt,3,2,0,6,3,7,0,0,0,254
webtools,libra,0,0,0,7,29,10,0,22,0,152
modeling,gendoc,0,0,0,3,2,4,0,0,0,106
modeling,mdt,0,29,0,5,5,16,0,3,0,114
modeling,emf,56,290,34,1180,767,535,0,183,0,8029
rt,ebr,0,0,0,0,0,0,0,0,0,6
technology,vtp,5,30,5,2,3,4,0,0,0,259
rt,gyrex,7,0,6,5,0,10,0,0,0,157
tools,cdt,232,269,106,1115,2074,690,0,335,0,19331
modeling,amp,8,17,8,17,2,14,0,0,0,171
technology,rtp,0,1,0,0,0,0,0,0,0,77
modeling,eef,11,4,12,148,242,22,0,242,0,330
modeling,emft.b3,8,9,6,0,2,9,0,1,0,140
modeling,capra,5,0,1,0,4,1,0,0,0,46
rt,gemini.jpa,3,1,3,20,8,4,0,7,0,126
technology,sisu,0,3,0,25,6,2,0,0,0,130
tools,orbit,7,12,6,0,6,27,0,3,0,1033
tools,titan,0,0,0,2,1,2,0,0,0,183
technology,sapphire,24,0,24,40,7,16,0,0,0,1189
tools,gef,73,157,47,76,146,152,0,32,0,2950
tools,oomph,7,8,10,406,94,123,0,57,0,1438
technology,scout,34,11,29,66,4,97,0,0,0,1912
rt,ecf,44,30,46,102,38,113,0,6,0,1944
technology,nebula.incubator,0,0,0,0,0,0,0,0,0,1
technology,babel,3,23,2,7,25,21,0,7,0,653
rt,gemini.dbaccess,0,0,0,1,0,0,0,0,0,19
technology,mpc,6,18,4,11,30,14,0,28,0,596
science,dawnsci,0,0,0,0,0,0,0,0,0,1
ecd,che,0,0,0,0,1,0,0,0,0,22
iot,kapua,0,0,0,0,0,0,0,0,0,1
technology,efxclipse,3,0,2,11,21,46,0,1,0,1092
tools,tracecompass,1,0,0,73,72,29,0,71,0,500
technology,epf,18,244,14,126,23,126,0,1,0,3064
soa,ebpm,0,0,0,0,0,0,0,0,0,2
rt,apricot,0,0,0,0,1,1,0,1,0,14
technology,osee,45,3,44,20,4,16,0,1,0,355
eclipse,jdt,986,2505,770,927,673,2423,0,333,0,55279
modeling,emf.parsley,1,0,0,0,5,3,0,0,0,142
technology,handly,0,0,1,0,0,0,0,0,0,142
technology,recommenders.incubator,3,2,3,36,2,11,0,2,0,225
mylyn,mylyn,88,1900,34,151,251,959,0,26,0,8422
iot,wakaama,0,0,0,0,0,0,0,0,0,10
tools,atf,7,36,0,3,11,22,0,3,0,493
modeling,elk,0,0,0,0,0,0,0,0,0,3
tools,aspectj,40,434,4,118,77,265,0,51,0,2884
modeling,modeling,0,2,1,8,15,19,0,12,0,217
modeling,emft.refactor,1,0,0,0,1,0,0,0,0,20
soa,bpel,2,5,1,11,3,6,0,1,0,376
technology,egerrit,1,1,0,1,1,51,0,0,0,394
technology,dash,5,6,2,0,8,3,0,2,0,199
technology,swtbot,98,28,100,84,33,28,0,1,0,524
tools,tools,0,0,0,1,1,0,0,1,0,9
technology,app4mc,0,0,0,0,0,1,0,0,0,47
rt,equinox,143,145,71,347,279,567,0,132,0,13046
modeling,m2t,4,86,3,41,29,63,0,13,0,1059
technology,tycho,230,53,233,71,18,158,0,0,0,1060
iot,scada,2,3,1,16,1,6,0,0,0,101
tools,thym,2,0,1,3,0,18,0,0,0,130
tools,mtj,46,64,72,100,86,50,0,1,0,744
modeling,mdht,2,0,2,0,6,0,0,0,0,29
soa,score,0,0,0,0,0,0,0,0,0,1
modeling,edapt,1,36,0,3,4,10,0,0,0,125
technology,jubula,97,330,51,31,8,196,0,0,0,2030
technology,usssdk,0,0,0,2,1,2,0,0,0,7
modeling,emf.egf,3,1,3,4,0,5,0,0,0,191
rt,ercp,14,5,4,10,31,32,0,1,0,595
modeling,fmc,0,0,0,0,0,0,0,0,0,9
modeling,amalgam,0,0,0,0,0,5,0,0,0,124
iot,ponte,0,0,0,0,0,0,0,0,0,4
technology,microprofile,0,0,0,0,0,0,0,0,0,3
iot,tinydtls,0,1,0,0,0,0,0,0,0,7
tools,ajdt,11,54,3,101,29,77,0,25,0,1465
technology,ogee,0,0,0,5,0,3,0,0,0,33
tools,buildship,23,0,20,81,0,40,0,0,0,390
modeling,ecoretools,0,20,0,20,2,16,0,2,0,293
iot,kura,0,0,0,0,0,2,0,0,0,46
modeling,mmt.atl,3,0,0,2,2,8,0,0,0,271
webtools,jsdt,40,23,38,261,305,142,0,272,0,2439
modeling,sirius,137,65,123,47,5,145,0,2,0,1595
technology,epp,68,91,61,166,158,68,0,112,0,1558
technology,hudson,82,14,13,39,41,68,0,4,0,1423
science,chemclipse,1,0,1,0,0,0,0,0,0,22
modeling,ecp,6,739,4,13,3,99,0,0,0,1615
technology,camf,0,0,0,0,0,0,0,0,0,12
iot,4diac,1,0,1,85,4,3,0,0,0,302
tools,xtend,47,3,41,161,199,301,0,112,0,2297
technology,recommenders,36,28,31,41,25,83,0,2,0,1206
technology,stem,7,12,8,0,8,9,0,1,0,437
eclipse,e4,88,20,68,83,12,89,0,5,0,3478
technology,woolsey,0,2,0,0,1,1,0,0,0,50
tools,tcf,19,21,11,53,122,45,0,119,0,1144
technology,remus,0,0,0,1,0,1,0,0,0,61
modeling,epsilon,3,3,1,25,188,34,0,188,0,535
eclipse,platform,2092,4378,1005,2907,1659,4533,0,1252,0,110606
modeling,emft.facet,6,333,5,24,4,66,0,0,0,828
tools,ptp,75,193,25,239,174,116,0,74,0,2732
iot,paho,6,0,6,1,2,2,0,0,0,143
modeling,etrice,0,2,0,11,0,58,0,0,0,541
science,triquetrum,0,0,0,0,0,0,0,0,0,1
birt,birt,77,422,21,389,457,660,0,30,0,23056
modeling,upr,0,0,0,0,0,0,0,0,0,3
modeling,mdt.uml2,1,66,1,67,44,70,0,20,0,960
tools,objectteams,1,4,0,17,1,6,0,0,0,664
rt,virgo,25,7,13,79,37,121,0,2,0,1580
iot,mihini,0,52,0,0,0,15,0,0,0,121
technology,uomo,7,15,4,2,2,9,0,0,0,48
eclipse,incubator,0,0,0,1,1,2,0,1,0,48
technology,cbi,13,12,10,9,117,39,0,113,0,613
ecd,cft,0,0,0,0,0,1,0,0,0,131
modeling,gmp,5,32,0,7,13,8,0,5,0,245
iot,om2m,0,0,0,2,0,0,0,0,0,44
tools,buckminster,107,35,99,13,15,51,0,2,0,1261
modeling,umlgen,1,0,1,4,4,14,0,0,0,88
rt,gemini.blueprint,1,0,0,7,3,9,0,1,0,87
rt,gemini.management,0,0,0,7,0,0,0,0,0,49
rt,jetty,45,10,36,156,18,129,0,0,0,3770
technology,mdmweb,5,0,5,0,0,0,0,0,0,28
modeling,emf.diffmerge,0,0,0,0,0,5,0,0,0,152
ecd,dirigible,4,23,2,91,8,40,0,0,0,320
rt,gemini.web,1,1,1,4,45,11,0,45,0,217
technology,skalli,6,7,5,0,0,7,0,0,0,177
