domain,project,1,2,3,4
birt,birt,291,3583,10863,7041
datatools,datatools,0,0,0,0
ecd,orion,39,2096,5108,2244
ecd,che,1,12,1,0
ecd,cft,2,64,39,0
ecd,dirigible,48,168,48,28
eclipse,jdt,1491,14460,18878,18100
eclipse,pde,353,5635,5164,3192
eclipse,e4,82,1344,1176,404
eclipse,platform,5157,29541,37864,31904
eclipse,incubator,5,11,14,3
foundation,simultaneousrelease,0,0,0,0
foundation,community,0,0,0,0
foundation,drupal,0,0,0,0
foundation,z_archived,0,0,0,0
foundation,workinggroups,0,0,0,0
iot,californium,0,25,22,2
iot,vorto,0,78,57,21
iot,risev2g,0,0,0,0
iot,kapua,0,0,1,0
iot,unide,0,0,0,0
iot,wakaama,0,3,0,0
iot,iofog,0,0,0,0
iot,hawkbit,0,0,0,0
iot,ponte,0,1,0,0
iot,tinydtls,3,4,0,0
iot,kura,1,22,5,0
iot,paho,5,51,45,14
iot,mihini,0,46,37,38
iot,om2m,7,17,14,3
iot,whiskers,0,0,0,0
iot,ditto,0,0,0,0
iot,krikkit,0,4,0,0
iot,ignite,0,0,0,0
iot,agail,0,0,0,0
iot,scada,7,32,35,11
iot,milo,0,0,0,0
iot,4diac,29,125,76,6
iot,paho.incubator,0,0,0,0
modeling,graphiti,25,143,134,296
modeling,mdt.modisco,108,80,297,464
modeling,acceleo,11,696,96,46
modeling,sphinx,25,126,146,131
modeling,emfstore,11,251,158,80
modeling,pmf,2,7,0,3
modeling,franca,0,0,0,0
modeling,papyrus,514,3551,2502,2023
modeling,mdt.xsd,8,285,49,53
modeling,viatra,54,331,449,165
modeling,emft.henshin,0,42,17,3
modeling,eatop,2,9,10,0
modeling,emft.doc2model,0,1,0,0
modeling,efm,0,7,3,0
modeling,mdt,1,39,31,31
modeling,amp,19,84,31,8
modeling,papyrusrt,0,0,0,0
modeling,eef,1,31,15,262
modeling,capra,4,12,6,4
modeling,elk,0,2,0,0
modeling,gmftooling,0,0,0,0
modeling,edapt,14,46,33,27
modeling,fmc,0,1,0,0
modeling,amalgam,3,59,25,10
modeling,mmt.atl,11,188,15,4
modeling,sirius,159,342,602,245
modeling,gmfnotation,0,0,0,0
modeling,emft.facet,120,62,121,501
modeling,etrice,31,306,110,20
modeling,gmp,1,76,97,65
modeling,ocl,31,883,207,191
modeling,mdt.rmf,11,126,102,86
modeling,mdt.bpmn2,0,22,12,1
modeling,emft,17,281,126,65
modeling,emfcompare,18,694,238,68
modeling,qvto,34,605,152,21
modeling,qvtd,21,70,74,6
modeling,tmf,145,3003,1043,361
modeling,mmt,0,5,37,0
modeling,gendoc,7,47,28,0
modeling,emf,203,3810,1540,2281
modeling,papyrusxtuml,0,0,0,0
modeling,emft.b3,12,71,15,9
modeling,emf.parsley,0,57,69,6
modeling,modeling,9,123,30,30
modeling,emft.refactor,5,3,1,1
modeling,m2t,37,470,305,136
modeling,emft.js4emf,0,0,0,0
modeling,mdht,4,4,7,2
modeling,emf.egf,24,103,48,3
modeling,ecoretools,11,138,66,54
modeling,ecp,104,368,601,521
modeling,gmfruntime,0,0,0,0
modeling,epsilon,24,133,86,237
modeling,emfservices,0,0,0,0
modeling,upr,1,1,0,0
modeling,mdt.uml2,8,272,249,408
modeling,umlgen,10,50,20,1
modeling,emf.diffmerge,5,108,28,0
mylyn,mylyndocsintent,0,0,0,0
mylyn,mylynincubator,0,0,0,0
mylyn,mylyncommons,0,0,0,0
mylyn,mylyn,112,2676,2861,2720
mylyn,mylyndocs,0,0,0,0
mylyn,mylyncontextmft,0,0,0,0
mylyn,mylyncontext,0,0,0,0
mylyn,mylynbuilds,0,0,0,0
mylyn,mylyndocsvex,0,0,0,0
mylyn,mylynversions,0,0,0,0
mylyn,mylyntasks,0,0,0,0
mylyn,mylynreviewsr4e,0,0,0,0
mylyn,mylynreviews,0,0,0,0
rt,vertx,6,254,74,16
rt,riena,29,418,352,106
rt,yasson,0,0,0,0
rt,eclipselink,722,1797,3030,1366
rt,smila,1,78,85,48
rt,gemini,1,0,0,0
rt,ebr,1,1,2,0
rt,gyrex,16,20,73,37
rt,ecf,33,980,600,234
rt,gemini.dbaccess,0,11,4,0
rt,equinox,421,4280,4205,3046
rt,gemini.blueprint,2,32,34,14
rt,gemini.management,0,4,25,18
rt,jetty,0,1633,1717,416
rt,gemini.web,1,69,79,65
rt,rap,195,2763,1041,846
rt,gemini.naming,0,5,12,7
rt,gemini.jpa,3,72,19,12
rt,apricot,0,10,0,1
rt,ercp,11,366,143,37
rt,virgo,43,379,782,227
science,texlipse,0,0,0,0
science,dawnsci,0,0,0,0
science,chemclipse,3,8,1,0
science,statet,0,0,0,0
science,ice,21,164,37,10
science,eavp,0,0,2,0
science,richbeans,0,0,0,0
science,triquetrum,0,0,1,0
soa,jwt,33,153,110,92
soa,soaplatform,0,0,0,0
soa,ebpm,0,0,0,0
soa,bpel,9,198,81,54
soa,stardust,21,213,181,75
soa,mangrove,0,6,0,4
soa,bpmn2modeler,8,554,72,13
soa,score,0,0,0,0
technology,m2e,7,1004,321,161
technology,actf,0,848,93,58
technology,rtsc,94,461,424,206
technology,nebula,72,483,209,85
technology,ease,12,226,43,100
technology,tigerstripe,12,828,224,59
technology,flux,4,7,24,2
technology,technologytoplevel,0,0,0,0
technology,xwt,2,57,36,243
technology,subversive,9,2048,255,158
technology,rcptt,13,70,46,13
technology,vtp,6,114,86,12
technology,sapphire,25,149,645,328
technology,scanning,0,0,0,0
technology,nebula.incubator,0,0,1,0
technology,handly,0,1,119,20
technology,recommenders.incubator,7,108,68,13
technology,egerrit,22,113,178,17
technology,jnosql,0,0,0,0
technology,ogee,0,23,4,3
technology,packagedrone,0,0,0,0
technology,hudson,135,482,232,81
technology,camf,0,3,2,0
technology,stem,6,74,254,96
technology,woolsey,1,29,0,2
technology,sw360,0,0,0,0
technology,collections,0,0,0,0
technology,cbi,8,166,109,292
technology,mdmweb,1,14,5,4
technology,skalli,6,33,78,33
technology,dltk,50,266,318,284
technology,gef3d,1,51,18,7
technology,m2ewtp,0,0,0,0
technology,lsp4j,0,0,0,1
technology,lsp4e,9,4,21,12
technology,openkplatform,0,0,0,0
technology,lyo,15,212,488,123
technology,tm4e,0,0,0,1
technology,mbeddr,0,0,0,0
technology,egit,148,1619,935,466
technology,eclemma,0,2,13,3
technology,mdmbl,0,0,1,0
technology,omr,0,0,0,0
technology,nattable,8,189,441,71
technology,n4js,0,0,0,0
technology,jgit,62,334,202,165
technology,rtp,3,46,18,2
technology,sisu,9,15,65,27
technology,scout,31,518,863,318
technology,babel,11,363,139,84
technology,osbp,0,0,0,0
technology,mpc,4,290,105,145
technology,efxclipse,20,725,113,12
technology,epf,91,484,1576,755
