domain,project,os,priority,hardware,version,component,severity,assignee,product,status,total
soa,jwt,14,37,5,146,27,14,0,0,0,408
tools,mat,8,1,8,11,3,7,0,0,0,461
modeling,papyrus,792,75,810,894,497,581,0,5,0,9634
modeling,mdt.xsd,1,14,0,30,24,37,0,24,0,404
rt,eclipselink,79,1510,86,512,67,534,0,5,0,7952
technology,xwt,4,1,0,115,222,2,0,222,0,352
modeling,viatra,5,11,3,139,32,31,0,24,0,1037
tools,tracecompass.incubator,0,0,0,0,0,0,0,0,0,0
modeling,emft.henshin,0,0,0,0,2,3,0,0,0,90
modeling,eatop,1,0,1,0,1,0,0,0,0,34
webtools,wtpwebservices,0,0,0,0,0,0,0,0,0,0
rt,smila,8,15,6,10,6,33,0,0,0,216
modeling,emft.doc2model,0,0,0,0,0,0,0,0,0,1
modeling,efm,0,0,0,0,1,1,0,0,0,23
webtools,javaeeconfig,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,0,0,0,0,0,0,0,0,0,0
technology,subversive,11,36,7,50,34,80,0,14,0,2591
rt,gemini,1,0,0,0,0,0,0,0,0,5
webtools,wtpsourceediting,0,0,0,0,0,0,0,0,0,0
technology,rcptt,3,2,0,6,3,7,0,0,0,254
modeling,mdt,0,29,0,5,5,16,0,3,0,114
soa,soaplatform,0,0,0,0,0,0,0,0,0,0
rt,ebr,0,0,0,0,0,0,0,0,0,6
technology,vtp,5,30,5,2,3,4,0,0,0,259
rt,gyrex,7,0,6,5,0,10,0,0,0,157
modeling,amp,8,17,8,17,2,14,0,0,0,171
modeling,papyrusrt,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,0,0,0,0,0,0,0,0,0,0
modeling,eef,11,4,12,148,242,22,0,242,0,330
modeling,capra,5,0,1,0,4,1,0,0,0,46
tools,titan,0,0,0,2,1,2,0,0,0,183
technology,sapphire,24,0,24,40,7,16,0,0,0,1189
tools,gef,73,157,47,76,146,152,0,32,0,2950
tools,oomph,7,8,10,406,94,123,0,57,0,1438
rt,ecf,44,30,46,102,38,113,0,6,0,1944
technology,scanning,0,0,0,0,0,0,0,0,0,0
technology,nebula.incubator,0,0,0,0,0,0,0,0,0,1
foundation,z_archived,0,0,0,0,0,0,0,0,0,0
rt,gemini.dbaccess,0,0,0,1,0,0,0,0,0,19
science,dawnsci,0,0,0,0,0,0,0,0,0,1
ecd,che,0,0,0,0,1,0,0,0,0,22
iot,kapua,0,0,0,0,0,0,0,0,0,1
iot,unide,0,0,0,0,0,0,0,0,0,0
soa,ebpm,0,0,0,0,0,0,0,0,0,2
tools,linuxtools,0,0,0,0,0,0,0,0,0,0
eclipse,jdt,986,2505,770,927,673,2423,0,333,0,55279
technology,handly,0,0,1,0,0,0,0,0,0,142
technology,recommenders.incubator,3,2,3,36,2,11,0,2,0,225
mylyn,mylyn,88,1900,34,151,251,959,0,26,0,8422
mylyn,mylyndocs,0,0,0,0,0,0,0,0,0,0
iot,wakaama,0,0,0,0,0,0,0,0,0,10
modeling,elk,0,0,0,0,0,0,0,0,0,3
soa,bpel,2,5,1,11,3,6,0,1,0,376
technology,egerrit,1,1,0,1,1,51,0,0,0,394
iot,iofog,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,0,0,0,0,0,0,0,0,0,0
technology,jnosql,0,0,0,0,0,0,0,0,0,0
datatools,datatools,0,0,0,0,0,0,0,0,0,0
rt,equinox,143,145,71,347,279,567,0,132,0,13046
tools,thym,2,0,1,3,0,18,0,0,0,130
tools,mtj,46,64,72,100,86,50,0,1,0,744
mylyn,mylyncontextmft,0,0,0,0,0,0,0,0,0,0
modeling,edapt,1,36,0,3,4,10,0,0,0,125
iot,hawkbit,0,0,0,0,0,0,0,0,0,0
modeling,fmc,0,0,0,0,0,0,0,0,0,9
modeling,amalgam,0,0,0,0,0,5,0,0,0,124
iot,ponte,0,0,0,0,0,0,0,0,0,4
iot,tinydtls,0,1,0,0,0,0,0,0,0,7
tools,ajdt,11,54,3,101,29,77,0,25,0,1465
mylyn,mylyncontext,0,0,0,0,0,0,0,0,0,0
technology,ogee,0,0,0,5,0,3,0,0,0,33
tools,buildship,23,0,20,81,0,40,0,0,0,390
iot,kura,0,0,0,0,0,2,0,0,0,46
modeling,mmt.atl,3,0,0,2,2,8,0,0,0,271
modeling,sirius,137,65,123,47,5,145,0,2,0,1595
technology,packagedrone,0,0,0,0,0,0,0,0,0,0
technology,hudson,82,14,13,39,41,68,0,4,0,1423
mylyn,mylynbuilds,0,0,0,0,0,0,0,0,0,0
science,chemclipse,1,0,1,0,0,0,0,0,0,22
technology,camf,0,0,0,0,0,0,0,0,0,12
modeling,gmfnotation,0,0,0,0,0,0,0,0,0,0
tools,xtend,47,3,41,161,199,301,0,112,0,2297
technology,stem,7,12,8,0,8,9,0,1,0,437
tools,targetmanagement,0,0,0,0,0,0,0,0,0,0
technology,woolsey,0,2,0,0,1,1,0,0,0,50
tools,tcf,19,21,11,53,122,45,0,119,0,1144
modeling,emft.facet,6,333,5,24,4,66,0,0,0,828
webtools,wtpreleng,0,0,0,0,0,0,0,0,0,0
iot,paho,6,0,6,1,2,2,0,0,0,143
technology,sw360,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,0,0,0,0,0,0,0,0,0,0
modeling,etrice,0,2,0,11,0,58,0,0,0,541
mylyn,mylyndocsvex,0,0,0,0,0,0,0,0,0,0
iot,mihini,0,52,0,0,0,15,0,0,0,121
technology,collections,0,0,0,0,0,0,0,0,0,0
technology,cbi,13,12,10,9,117,39,0,113,0,613
ecd,cft,0,0,0,0,0,1,0,0,0,131
modeling,gmp,5,32,0,7,13,8,0,5,0,245
iot,om2m,0,0,0,2,0,0,0,0,0,44
tools,buckminster,107,35,99,13,15,51,0,2,0,1261
rt,gemini.blueprint,1,0,0,7,3,9,0,1,0,87
rt,gemini.management,0,0,0,7,0,0,0,0,0,49
rt,jetty,45,10,36,156,18,129,0,0,0,3770
technology,mdmweb,5,0,5,0,0,0,0,0,0,28
ecd,dirigible,4,23,2,91,8,40,0,0,0,320
rt,gemini.web,1,1,1,4,45,11,0,45,0,217
technology,skalli,6,7,5,0,0,7,0,0,0,177
modeling,ocl,3,28,4,24,15,63,0,14,0,1739
modeling,mdt.rmf,13,77,11,0,1,50,0,0,0,347
technology,dltk,22,46,6,293,13,29,0,8,0,1121
technology,gef3d,2,1,2,1,2,1,0,1,0,120
iot,whiskers,0,0,0,0,0,0,0,0,0,0
science,statet,0,0,0,0,0,0,0,0,0,0
soa,stardust,2,0,1,41,26,11,0,0,0,538
technology,m2ewtp,0,0,0,0,0,0,0,0,0,0
tools,damos,0,0,0,0,0,0,0,0,0,6
mylyn,mylynversions,0,0,0,0,0,0,0,0,0,0
technology,lsp4j,0,0,0,0,0,0,0,0,0,1
eclipse,pde,229,294,157,436,309,668,0,137,0,15737
technology,lsp4e,7,3,8,0,13,7,0,0,0,60
rt,rap,533,483,472,480,275,512,0,4,0,5011
modeling,mdt.bpmn2,0,0,0,3,0,1,0,0,0,62
technology,openkplatform,0,0,0,0,0,0,0,0,0,0
rt,gemini.naming,0,0,0,0,3,2,0,3,0,26
technology,lyo,19,2,21,31,3,43,0,0,0,881
modeling,emft,4,32,2,33,10,33,0,6,0,604
tools,ldt,15,90,12,27,2,67,0,0,0,381
technology,tm4e,0,0,0,0,0,1,0,0,0,1
modeling,emfcompare,11,24,10,63,58,45,0,3,0,1095
modeling,qvto,5,7,4,15,12,14,0,2,0,967
science,ice,2,3,2,0,1,4,0,1,0,327
tools,windowbuilder,21,2,16,8,10,52,0,8,0,501
tools,pdt.incubator,0,0,0,0,0,0,0,0,0,1
modeling,qvtd,0,0,0,1,87,3,0,0,0,262
science,eavp,0,0,0,0,0,0,0,0,0,4
modeling,tmf,73,59,69,402,153,572,0,9,0,5272
webtools,javaserverfaces,0,0,0,0,0,0,0,0,0,0
modeling,mmt,0,28,0,0,0,3,0,0,0,42
soa,mangrove,0,0,0,0,2,3,0,2,0,13
technology,mbeddr,0,0,0,0,0,0,0,0,0,0
iot,ditto,0,0,0,0,0,0,0,0,0,0
technology,egit,147,3,126,176,21,374,0,10,0,4085
technology,eclemma,2,0,2,0,0,1,0,0,0,20
technology,mdmbl,0,0,0,0,0,0,0,0,0,2
soa,bpmn2modeler,1,8,0,23,4,39,0,1,0,705
technology,omr,0,0,0,0,0,0,0,0,0,0
iot,krikkit,0,0,0,0,0,0,0,0,0,6
technology,nattable,4,0,2,7,4,30,0,0,0,743
technology,n4js,0,0,0,0,0,0,0,0,0,0
mylyn,mylyntasks,0,0,0,0,0,0,0,0,0,0
technology,jgit,35,2,31,62,6,109,0,4,0,991
webtools,libra,0,0,0,7,29,10,0,22,0,152
modeling,gendoc,0,0,0,3,2,4,0,0,0,106
modeling,emf,56,290,34,1180,767,535,0,183,0,8029
modeling,papyrusxtuml,0,0,0,0,0,0,0,0,0,0
tools,cdt,232,269,106,1115,2074,690,0,335,0,19331
iot,ignite,0,0,0,0,0,0,0,0,0,0
technology,rtp,0,1,0,0,0,0,0,0,0,77
modeling,emft.b3,8,9,6,0,2,9,0,1,0,140
rt,gemini.jpa,3,1,3,20,8,4,0,7,0,126
technology,sisu,0,3,0,25,6,2,0,0,0,130
tools,orbit,7,12,6,0,6,27,0,3,0,1033
technology,scout,34,11,29,66,4,97,0,0,0,1912
science,richbeans,0,0,0,0,0,0,0,0,0,0
technology,babel,3,23,2,7,25,21,0,7,0,653
technology,osbp,0,0,0,0,0,0,0,0,0,0
technology,mpc,6,18,4,11,30,14,0,28,0,596
technology,efxclipse,3,0,2,11,21,46,0,1,0,1092
tools,tracecompass,1,0,0,73,72,29,0,71,0,500
technology,epf,18,244,14,126,23,126,0,1,0,3064
iot,agail,0,0,0,0,0,0,0,0,0,0
rt,apricot,0,0,0,0,1,1,0,1,0,14
technology,osee,45,3,44,20,4,16,0,1,0,355
modeling,emf.parsley,1,0,0,0,5,3,0,0,0,142
tools,atf,7,36,0,3,11,22,0,3,0,493
tools,aspectj,40,434,4,118,77,265,0,51,0,2884
modeling,modeling,0,2,1,8,15,19,0,12,0,217
modeling,emft.refactor,1,0,0,0,1,0,0,0,0,20
technology,dash,5,6,2,0,8,3,0,2,0,199
technology,swtbot,98,28,100,84,33,28,0,1,0,524
webtools,wtpwebsite,0,0,0,0,0,0,0,0,0,0
foundation,workinggroups,0,0,0,0,0,0,0,0,0,0
tools,tools,0,0,0,1,1,0,0,1,0,9
technology,app4mc,0,0,0,0,0,1,0,0,0,47
modeling,m2t,4,86,3,41,29,63,0,13,0,1059
technology,tycho,230,53,233,71,18,158,0,0,0,1060
iot,scada,2,3,1,16,1,6,0,0,0,101
modeling,emft.js4emf,0,0,0,0,0,0,0,0,0,0
modeling,mdht,2,0,2,0,6,0,0,0,0,29
soa,score,0,0,0,0,0,0,0,0,0,1
technology,jubula,97,330,51,31,8,196,0,0,0,2030
technology,usssdk,0,0,0,2,1,2,0,0,0,7
modeling,emf.egf,3,1,3,4,0,5,0,0,0,191
mylyn,mylynreviewsr4e,0,0,0,0,0,0,0,0,0,0
rt,ercp,14,5,4,10,31,32,0,1,0,595
webtools,webtools,0,0,0,0,0,0,0,0,0,0
technology,microprofile,0,0,0,0,0,0,0,0,0,3
iot,milo,0,0,0,0,0,0,0,0,0,0
modeling,ecoretools,0,20,0,20,2,16,0,2,0,293
webtools,jsdt,40,23,38,261,305,142,0,272,0,2439
technology,epp,68,91,61,166,158,68,0,112,0,1558
webtools,wtpjavaeetools,0,0,0,0,0,0,0,0,0,0
modeling,ecp,6,739,4,13,3,99,0,0,0,1615
iot,4diac,1,0,1,85,4,3,0,0,0,302
mylyn,mylynreviews,0,0,0,0,0,0,0,0,0,0
modeling,gmfruntime,0,0,0,0,0,0,0,0,0,0
technology,recommenders,36,28,31,41,25,83,0,2,0,1206
eclipse,e4,88,20,68,83,12,89,0,5,0,3478
technology,remus,0,0,0,1,0,1,0,0,0,61
modeling,epsilon,3,3,1,25,188,34,0,188,0,535
eclipse,platform,2092,4378,1005,2907,1659,4533,0,1252,0,110606
technology,reddeer,0,0,0,0,0,0,0,0,0,0
tools,ptp,75,193,25,239,174,116,0,74,0,2732
iot,paho.incubator,0,0,0,0,0,0,0,0,0,0
science,triquetrum,0,0,0,0,0,0,0,0,0,1
modeling,emfservices,0,0,0,0,0,0,0,0,0,0
birt,birt,77,422,21,389,457,660,0,30,0,23056
modeling,upr,0,0,0,0,0,0,0,0,0,3
modeling,mdt.uml2,1,66,1,67,44,70,0,20,0,960
tools,objectteams,1,4,0,17,1,6,0,0,0,664
technology,simopenpass,0,0,0,0,0,0,0,0,0,0
rt,virgo,25,7,13,79,37,121,0,2,0,1580
technology,uomo,7,15,4,2,2,9,0,0,0,48
eclipse,incubator,0,0,0,1,1,2,0,1,0,48
technology,sensinact,0,0,0,0,0,0,0,0,0,0
modeling,umlgen,1,0,1,4,4,14,0,0,0,88
modeling,emf.diffmerge,0,0,0,0,0,5,0,0,0,152
